100 #Width Height
200 #Generations
0 1
0 11
0 13
0 15
0 19
0 26
0 41
0 43
0 50
0 61
0 65
0 70
0 72
0 74
0 80
0 83
0 98
1 1
1 2
1 13
1 19
1 20
1 26
1 32
1 47
1 48
1 53
1 55
1 60
1 61
1 63
1 65
1 72
1 74
1 75
1 81
1 91
1 93
1 94
1 99
2 1
2 5
2 6
2 8
2 26
2 31
2 33
2 40
2 48
2 52
2 54
2 56
2 69
2 70
2 76
2 82
2 83
2 84
2 85
2 96
2 97
3 1
3 2
3 8
3 9
3 10
3 14
3 18
3 21
3 22
3 29
3 40
3 49
3 52
3 53
3 54
3 61
3 66
3 68
3 69
3 71
3 72
3 75
3 76
3 85
3 86
3 90
3 91
3 95
4 4
4 12
4 15
4 31
4 33
4 46
4 48
4 52
4 56
4 82
4 89
4 97
5 1
5 4
5 5
5 17
5 33
5 34
5 41
5 42
5 45
5 47
5 68
5 70
5 73
5 74
5 95
5 96
5 98
6 0
6 3
6 8
6 15
6 18
6 20
6 22
6 29
6 31
6 34
6 50
6 70
6 71
6 72
6 73
6 78
6 90
6 98
7 1
7 7
7 12
7 13
7 15
7 20
7 21
7 26
7 27
7 28
7 31
7 41
7 51
7 53
7 56
7 57
7 60
7 61
7 83
7 89
7 90
7 94
7 97
8 0
8 1
8 3
8 10
8 14
8 15
8 20
8 21
8 22
8 27
8 29
8 38
8 55
8 58
8 60
8 61
8 67
8 72
8 78
8 86
8 87
8 97
9 13
9 18
9 22
9 24
9 33
9 38
9 41
9 44
9 49
9 50
9 59
9 60
9 61
9 67
9 69
9 76
9 77
9 82
9 87
10 7
10 8
10 11
10 15
10 17
10 32
10 38
10 44
10 59
10 82
10 89
10 91
10 92
10 97
10 98
11 4
11 8
11 16
11 17
11 20
11 23
11 28
11 33
11 36
11 45
11 50
11 61
11 69
11 78
11 81
11 85
12 1
12 5
12 9
12 17
12 18
12 23
12 24
12 25
12 31
12 41
12 46
12 52
12 59
12 66
12 82
12 88
12 90
12 92
13 8
13 11
13 16
13 19
13 20
13 21
13 28
13 36
13 48
13 53
